audio	sentence	duration
3607-135982-0001.flac	CAREERING HOMEWARD AND THROUGH THIS CHANNEL OF POVERTY AND INACTION THE CONTINENT SPED ITS WEALTH AND INDUSTRY NOW AND AGAIN THE CLUMPS OF PEOPLE RAISED THE CHEER OF THE GRATEFULLY OPPRESSED THEIR SYMPATHY HOWEVER WAS FOR THE BLUE CARS	14.465
3607-135982-0002.flac	THE CARS OF THEIR FRIENDS THE FRENCH THE FRENCH MOREOVER WERE VIRTUAL VICTORS THEIR TEAM HAD FINISHED SOLIDLY THEY HAD BEEN PLACED SECOND AND THIRD AND THE DRIVER OF THE WINNING GERMAN CAR WAS REPORTED A BELGIAN	13.34
3607-135982-0003.flac	EACH BLUE CAR THEREFORE RECEIVED A DOUBLE MEASURE OF WELCOME AS IT TOPPED THE CREST OF THE HILL AND EACH CHEER OF WELCOME WAS ACKNOWLEDGED WITH SMILES AND NODS BY THOSE IN THE CAR IN ONE OF THESE TRIMLY BUILT CARS WAS A PARTY OF FOUR YOUNG MEN WHOSE SPIRITS SEEMED TO BE AT PRESENT	16.04
3607-135982-0004.flac	IN FACT THESE FOUR YOUNG MEN WERE ALMOST HILARIOUS THEY WERE CHARLES SEGOUIN THE OWNER OF THE CAR ANDRE RIVIERE A YOUNG ELECTRICIAN OF CANADIAN BIRTH A HUGE HUNGARIAN NAMED VILLONA	13.465
3607-135982-0005.flac	AND A NEATLY GROOMED YOUNG MAN NAMED DOYLE SEGOUIN WAS IN GOOD HUMOUR BECAUSE HE HAD UNEXPECTEDLY RECEIVED SOME ORDERS IN ADVANCE HE WAS ABOUT TO START A MOTOR ESTABLISHMENT IN PARIS	11.385
3607-135982-0006.flac	AND RIVIERE WAS IN GOOD HUMOUR BECAUSE HE WAS TO BE APPOINTED MANAGER OF THE ESTABLISHMENT THESE TWO YOUNG MEN WHO WERE COUSINS WERE ALSO IN GOOD HUMOUR BECAUSE OF THE SUCCESS OF THE FRENCH CARS VILLONA WAS IN GOOD HUMOUR BECAUSE HE HAD HAD A VERY SATISFACTORY LUNCHEON	15.685
3607-135982-0007.flac	AND BESIDES HE WAS AN OPTIMIST BY NATURE THE FOURTH MEMBER OF THE PARTY HOWEVER WAS TOO EXCITED TO BE GENUINELY HAPPY HE WAS ABOUT TWENTY SIX YEARS OF AGE WITH A SOFT LIGHT BROWN MOUSTACHE AND RATHER INNOCENT LOOKING GREY EYES	14.52
3607-135982-0008.flac	HIS FATHER WHO HAD BEGUN LIFE AS AN ADVANCED NATIONALIST HAD MODIFIED HIS VIEWS EARLY HE HAD MADE HIS MONEY AS A BUTCHER IN KINGSTOWN AND BY OPENING SHOPS IN DUBLIN AND IN THE SUBURBS HE HAD MADE HIS MONEY MANY TIMES OVER	14.035
3607-135982-0009.flac	HE HAD ALSO BEEN FORTUNATE ENOUGH TO SECURE SOME OF THE POLICE CONTRACTS AND IN THE END HE HAD BECOME RICH ENOUGH TO BE ALLUDED TO IN THE DUBLIN NEWSPAPERS AS A MERCHANT PRINCE HE HAD SENT HIS SON TO ENGLAND TO BE EDUCATED IN A BIG CATHOLIC COLLEGE	14.785
3607-135982-0010.flac	AND HAD AFTERWARDS SENT HIM TO DUBLIN UNIVERSITY TO STUDY LAW JIMMY DID NOT STUDY VERY EARNESTLY AND TOOK TO BAD COURSES FOR A WHILE HE HAD MONEY AND HE WAS POPULAR AND HE DIVIDED HIS TIME CURIOUSLY BETWEEN MUSICAL AND MOTORING CIRCLES	15.075
3607-135982-0011.flac	HIS FATHER REMONSTRATIVE BUT COVERTLY PROUD OF THE EXCESS HAD PAID HIS BILLS AND BROUGHT HIM HOME	6.505
4262-14486-0000.flac	HE KNEW WHERE THE DOE MADE A COUCH FOR HER FAWN AND HE LOOKED TO HIS STRENGTH FOR HIS PREY BUT THE MOON SWEPT THE SMOKE WREATHS AWAY	10.4
4262-14486-0001.flac	AND HE TURNED FROM HIS MEAL IN THE VILLAGER'S CLOSE AND HE BAYED TO THE MOON AS SHE ROSE IN SEONEE WELL AND HOW DOES SUCCESS TASTE	13.04
4262-14486-0002.flac	SAID TORPENHOW SOME THREE MONTHS LATER HE HAD JUST RETURNED TO CHAMBERS AFTER A HOLIDAY IN THE COUNTRY GOOD SAID DICK AS HE SAT LICKING HIS LIPS BEFORE THE EASEL IN THE STUDIO I WANT MORE HEAPS MORE	15.04
4262-14486-0003.flac	THE LEAN YEARS HAVE PASSED AND I APPROVE OF THESE FAT ONES BE CAREFUL OLD MAN THAT WAY LIES BAD WORK	9.375
4262-14486-0004.flac	TORPENHOW WAS SPRAWLING IN A LONG CHAIR WITH A SMALL FOX TERRIER ASLEEP ON HIS CHEST WHILE DICK WAS PREPARING A CANVAS A DAIS A BACKGROUND AND A LAY FIGURE WERE THE ONLY FIXED OBJECTS IN THE PLACE	14.25
4262-14486-0005.flac	THEY ROSE FROM A WRECK OF ODDMENTS THAT BEGAN WITH FELT COVERED WATER BOTTLES BELTS AND REGIMENTAL BADGES AND ENDED WITH A SMALL BALE OF SECOND HAND UNIFORMS AND A STAND OF MIXED ARMS	14.195
4262-14486-0006.flac	THE MARK OF MUDDY FEET ON THE DAIS SHOWED THAT A MILITARY MODEL HAD JUST GONE AWAY THE WATERY AUTUMN SUNLIGHT WAS FALLING AND SHADOWS SAT IN THE CORNERS OF THE STUDIO YES	14.1
4262-14486-0007.flac	SAID DICK DELIBERATELY I LIKE THE POWER I LIKE THE FUN I LIKE THE FUSS AND ABOVE ALL I LIKE THE MONEY I ALMOST LIKE THE PEOPLE WHO MAKE THE FUSS AND PAY THE MONEY ALMOST BUT THEY'RE A QUEER GANG AN AMAZINGLY QUEER GANG	16.86
4262-14486-0008.flac	DID YOU SEE THAT THE PAPERS CALLED IT THE WILD WORK SHOW NEVER MIND I SOLD EVERY SHRED OF CANVAS I WANTED TO AND ON MY WORD I BELIEVE IT WAS BECAUSE THEY BELIEVED I WAS A SELF TAUGHT FLAGSTONE ARTIST	15.28
4262-14486-0009.flac	LIMITED ISN'T THE WORD TO DESCRIBE EM I MET A FELLOW THE OTHER DAY WHO TOLD ME THAT IT WAS IMPOSSIBLE THAT SHADOWS ON WHITE SAND SHOULD BE BLUE ULTRAMARINE AS THEY ARE I FOUND OUT LATER THAT THE MAN HAD BEEN AS FAR AS BRIGHTON BEACH	15.08
4262-14486-0010.flac	BUT HE KNEW ALL ABOUT ART CONFOUND HIM HE GAVE ME A LECTURE ON IT AND RECOMMENDED ME TO GO TO SCHOOL TO LEARN TECHNIQUE I WONDER WHAT OLD KAMI WOULD HAVE SAID TO THAT	13.17
6506-10073-0000.flac	CHAPTER NINETEEN DICK TAKES HIS FINAL LEAVE	4.075
6506-10073-0001.flac	HE WAS NOT ALTOGETHER SATISFIED WITH IT	2.74
6506-10073-0002.flac	BUT THE LADY SEEMED TO HESITATE AND ASKED FOR A WEEK TO THINK ABOUT IT THIS SHOWED SO MUCH INGRATITUDE ON HER PART WAS SO POOR AN ACKNOWLEDGMENT OF THE POSITION WHICH HE HAD OFFERED HER THAT HE WAS INCLINED TO BE INDIGNANT	12.345
6506-10073-0003.flac	IF SHE DON'T CARE ABOUT IT SHE SHA'N'T HAVE IT IT WAS THUS THAT HE EXPRESSED HIMSELF ALOUD IN THE HEARING OF DICK ROSS BUT WITHOUT HOWEVER EXPLAINING WHO THE SHE WAS OR WHAT THE IT WAS OR INDEED IN ANY WAY ASKING DICK'S OPINION ON THE MATTER	14.38
6506-10073-0004.flac	HAD SHE EXPRESSED HER WARM AFFECTION AND AT ONCE ACCEPTED ALL THAT HAD BEEN PROFFERED THE GENTLEMAN WOULD PROBABLY HAVE LEARNT AT ONCE TO DESPISE THAT WHICH HAD BEEN OBTAINED SO EASILY AS IT WAS HE WAS SIMPLY CROSS AND THOUGHT THAT HE HAD DETERMINED TO WITHDRAW THE PROPOSAL	15.095
6506-10073-0005.flac	BUT STILL THE OTHER LETTER WAS TO COME AND MISS ALTIFIORLA'S CHANCE WAS STILL OPEN TO HER THE IMMEDIATE CONSEQUENCE OF THESE DOUBTS IN THE MIND OF SIR FRANCIS WAS A POSTPONEMENT OF THE VERDICT OF BANISHMENT WHICH HE HAD RESOLVED TO PRONOUNCE AGAINST DICK	13.63
6506-10073-0006.flac	AS SOON AS HIS MARRIAGE WITH MISS ALTIFIORLA SHOULD HAVE BEEN SETTLED HE DID NOT WISH TO LEAVE HIMSELF ALTOGETHER ALONE IN THE WORLD AND IF THIS DICK WERE DISMISSED IT WOULD BE NECESSARY THAT HE SHOULD PROVIDE HIMSELF WITH ANOTHER UNLESS HE WERE MINDED TO PROVIDE HIMSELF WITH A WIFE INSTEAD	15.585
6506-10073-0007.flac	HE BECAME THEREFORE GRADUALLY MORE GRACIOUS AFTER THE LITTLE SPEECH WHICH HAS BEEN ABOVE GIVEN DICK HAD UNDERSTOOD PERFECTLY WHO THE SHE HAD BEEN	8.635
6506-10073-0008.flac	AS NO QUESTION HAD BEEN ASKED HE HAD MADE NO REPLY	3.73
6506-10073-0009.flac	HE DESPISED THE BARONET ALMOST AS THOROUGHLY AS DID MISTER WESTERN BUT FOR CERTAIN PURPOSES AS TO WHICH HE DESPISED HIMSELF ALSO THE FRIENDSHIP OF THE BARONET SUITED HIM JUST AT PRESENT ONE MORNING FOR PRIVATE REASONS OF HIS OWN	14.325
6506-10073-0010.flac	DICK WENT INTO PERTH WHICH WAS TWENTY MILES DISTANT FROM THE BARONET'S SHOOTING LODGE AND RETURNED THE SAME DAY BRINGING THE POSTBAG WITH HIM FROM A POINT IN THE ROAD AT WHICH IT WAS DAILY LEFT BY THE POSTMAN SIR FRANCIS WITH UNUSUAL HASTE READ HIS LETTERS	14.255
6506-10073-0011.flac	AND AMONG THEM WAS ONE FROM MISS ALTIFIORLA BUT DICK HAD A BUDGET OF NEWS WHICH HE WAS ANXIOUS TO REVEAL AND WHICH HE DID TELL BEFORE SIR FRANCIS HAD SAID ANYTHING AS TO HIS OWN LETTER THERE WAS ANOTHER FRIEND ONE CAPTAIN FAWKES AT THE LODGE WITH THEM	14.835
6506-10073-0012.flac	AND DICK HAD AT FIRST BEEN RESTRAINED BY THIS MAN'S PRESENCE AS SOON AS HE FOUND HIMSELF ALONE WITH SIR FRANCIS HE BEGAN LADY GRANT HAS GONE OFF TO DRESDEN HE SAID WHERE DID YOU HEAR THAT ASKED THE BARONET THEY TOLD ME SO AT THE CLUB	14.21
6506-10073-0013.flac	AND WHY WHAT BUSINESS IS IT OF THEIRS SINCE YOU KNOW SO MUCH ABOUT IT WHY HAS SHE GONE TO PERSUADE HER BROTHER TO COME HOME AND TAKE HIS WIFE ONCE MORE IT WAS AN INFERNAL SHAME THAT THEY SHOULD EVER HAVE BEEN SEPARATED	14.485
6415-100596-0000.flac	THE ELUSIVE KATE FERRIS THE MYSTERIOUS KATE FERRIS	5.49
6415-100596-0001.flac	FOR A WHOLE SEMESTER ENTERED UPON HER COLLEGE CAREER IN AN ENTIRELY UNPREMEDITATED AND IMPROMPTU MANNER IT BEGAN ONE DAY AWAY BACK IN NOVEMBER	14.11
6415-100596-0002.flac	GEORGIE STOPPED TO EXAMINE SOME LOOSE SHEETS OF PAPER WHICH WERE IMPALED UPON THE DOOR WHAT'S THIS PATTY OH THAT'S THE REGISTRATION LIST FOR THE GERMAN CLUB PRISCILLA'S SECRETARY YOU KNOW AND EVERY ONE WHO WANTS TO JOIN COMES HERE	15.885
6415-100596-0003.flac	THE STUDY HAS BEEN SO FULL OF FRESHMEN ALL THE TIME THAT I TOLD HER TO HANG IT ON THE DOOR AND LET THEM JOIN OUTSIDE IT WORKS BEAUTIFULLY PATTY TURNED THE LEAVES AND RAN HER EYES DOWN THE LIST OF SPRAWLING SIGNATURES IT'S A POPULAR ORGANIZATION ISN'T IT	14.815
6415-100596-0004.flac	THE FRESHMEN ARE SIMPLY SCRAMBLING TO GET IN THEY'RE TRYING TO SHOW FRAEULEIN SCHERIN HOW MUCH INTEREST THEY TAKE IN THE SUBJECT GEORGIE LAUGHED PATTY PICKED UP THE PENCIL WOULD YOU LIKE TO JOIN	14.175
6415-100596-0005.flac	I KNOW PRISCILLA WOULD BE GRATIFIED NO THANK YOU I PAY CLUB DUES ENOUGH ALREADY I'M AFRAID I'M NOT EXACTLY ELIGIBLE MYSELF AS I DON'T KNOW ANY GERMAN IT'S SUCH A BEAUTIFULLY SHARP PENCIL THOUGH THAT I HATE NOT TO WRITE WITH IT	15.915
6415-100596-0006.flac	PATTY POISED THE PENCIL A MOMENT AND ABSTRACTEDLY TRACED THE NAME KATE FERRIS GEORGIE LAUGHED IF THERE SHOULD HAPPEN TO BE A KATE FERRIS IN COLLEGE SHE WOULD BE SURPRISED TO FIND HERSELF A MEMBER OF THE GERMAN CLUB	14.315
6415-100596-0007.flac	AND THE INCIDENT WAS FORGOTTEN A FEW DAYS LATER THE TWO CAME IN FROM CLASS TO FIND PRISCILLA AND THE PRESIDENT OF THE GERMAN CLUB SITTING ON THE DIVAN WITH THEIR HEADS TOGETHER FRANTICALLY TURNING THE LEAVES OF THE CATALOGUE	15.355
6415-100596-0008.flac	SHE ISN'T A SOPHOMORE THE PRESIDENT ANNOUNCED SHE MUST BE A FRESHMAN PRISCILLA LOOK AGAIN	7.54
6415-100596-0009.flac	GEORGIE AND PATTY EXCHANGED GLANCES AND INQUIRED THE TROUBLE A GIRL NAMED KATE FERRIS HAS REGISTERED FOR THE GERMAN CLUB AND WE'VE GONE THROUGH ALL THE CLASSES AND THERE SIMPLY ISN'T ANY SUCH GIRL IN COLLEGE POSSIBLY A SPECIAL	14.395
6415-100596-0010.flac	PRISCILLA PRODUCED THE REGISTRATION LIST AND TRIUMPHANTLY EXHIBITED AN UNMISTAKABLE KATE FERRIS THEY FORGOT TO PUT HER IN THE CATALOGUE I NEVER KNEW THEM TO MAKE SUCH A MISTAKE BEFORE SAID THE PRESIDENT DUBIOUSLY I DON'T BELIEVE WE'D BETTER PUT HER IN THE ROLL BOOK	16.07
6415-100596-0011.flac	SEVERAL WEEKS LATER PRISCILLA WAS ENGAGED IN LABORIOUSLY TURNING THE MINUTES OF THE LAST MEETING INTO GRAMMATICAL GERMAN AND AS SHE CLOSED THE DICTIONARY AND GRAMMAR WITH A SIGH OF RELIEF SHE REMARKED TO PATTY DO YOU KNOW	14.08
911-128684-0000.flac	ARE AS DUALISTIC AS IT IS POSSIBLE TO BE THOUGHTS WE ALL NATURALLY THINK ARE MADE OF ONE KIND OF SUBSTANCE AND THINGS OF ANOTHER CONSCIOUSNESS FLOWING INSIDE OF US IN THE FORMS OF CONCEPTION OR JUDGMENT	16.41
911-128684-0001.flac	OR CONCENTRATING ITSELF IN THE SHAPE OF PASSION OR EMOTION CAN BE DIRECTLY FELT AS THE SPIRITUAL ACTIVITY WHICH IT IS AND KNOWN IN CONTRAST WITH THE SPACE FILLING OBJECTIVE CONTENT WHICH IT ENVELOPES AND ACCOMPANIES	16.44
911-128684-0002.flac	IN OPPOSITION TO THIS DUALISTIC PHILOSOPHY I TRIED IN THE FIRST ESSAY TO SHOW THAT THOUGHTS AND THINGS ARE ABSOLUTELY HOMOGENEOUS AS TO THEIR MATERIAL AND THAT THEIR OPPOSITION IS ONLY ONE OF RELATION AND OF FUNCTION	15.5
911-128684-0003.flac	THERE IS NO THOUGHT STUFF DIFFERENT FROM THING STUFF I SAID BUT THE SAME IDENTICAL PIECE OF PURE EXPERIENCE WHICH WAS THE NAME I GAVE TO THE MATERIA PRIMA OF EVERYTHING	11.535
911-128684-0004.flac	CAN STAND ALTERNATELY FOR A FACT OF CONSCIOUSNESS OR FOR A PHYSICAL REALITY ACCORDING AS IT IS TAKEN IN ONE CONTEXT OR IN ANOTHER FOR THE RIGHT UNDERSTANDING OF WHAT FOLLOWS	13.465
911-128684-0005.flac	IN OUR PLEASURES AND PAINS OUR LOVES AND FEARS AND ANGERS IN THE BEAUTY COMICALITY IMPORTANCE OR PRECIOUSNESS OF CERTAIN OBJECTS AND SITUATIONS WE HAVE I AM TOLD BY MANY CRITICS	14.195
911-128684-0006.flac	A GREAT REALM OF EXPERIENCE INTUITIVELY RECOGNIZED AS SPIRITUAL MADE AND FELT TO BE MADE OF CONSCIOUSNESS EXCLUSIVELY AND DIFFERENT IN NATURE FROM THE SPACE FILLING KIND OF BEING WHICH IS ENJOYED BY PHYSICAL OBJECTS	16.475
911-128684-0007.flac	BECAUSE I HAD TO BE SO BRIEF I NOW RETURN TO THE SUBJECT BECAUSE I BELIEVE THAT SO FAR FROM INVALIDATING MY GENERAL THESIS THESE PHENOMENA WHEN PROPERLY ANALYZED AFFORD IT POWERFUL SUPPORT	14.43
911-128684-0008.flac	THE CENTRAL POINT OF THE PURE EXPERIENCE THEORY IS THAT OUTER AND INNER ARE NAMES FOR TWO GROUPS INTO WHICH WE SORT EXPERIENCES ACCORDING TO THE WAY IN WHICH THEY ACT UPON THEIR NEIGHBORS	14.48
911-128684-0009.flac	ANY ONE CONTENT SUCH AS HARD LET US SAY CAN BE ASSIGNED TO EITHER GROUP IN THE OUTER GROUP IT IS STRONG IT ACTS ENERGETICALLY AND AGGRESSIVELY	13.04
911-128684-0010.flac	HERE WHATEVER IS HARD INTERFERES WITH THE SPACE ITS NEIGHBORS OCCUPY IT DENTS THEM IS IMPENETRABLE BY THEM AND WE CALL THE HARDNESS THEN A PHYSICAL HARDNESS	13.3
5287-39165-0000.flac	CHAPTER THIRTEEN DELICATE HINTS LADY LUFTON HAD BEEN GREATLY REJOICED AT THAT GOOD DEED WHICH HER SON DID IN GIVING UP HIS LEICESTERSHIRE HUNTING AND COMING TO RESIDE FOR THE WINTER AT FRAMLEY IT WAS PROPER AND BECOMING	15.615
5287-39165-0001.flac	AND COMFORTABLE IN THE EXTREME AN ENGLISH NOBLEMAN OUGHT TO HUNT IN THE COUNTY WHERE HE HIMSELF OWNS THE FIELDS OVER WHICH HE RIDES HE OUGHT TO RECEIVE THE RESPECT AND HONOUR DUE TO HIM FROM HIS OWN TENANTS HE OUGHT TO SLEEP UNDER A ROOF OF HIS OWN	15.53
5287-39165-0002.flac	AND HE OUGHT ALSO SO LADY LUFTON THOUGHT TO FALL IN LOVE WITH A YOUNG EMBRYO BRIDE OF HIS OWN MOTHER'S CHOOSING AND THEN IT WAS SO PLEASANT TO HAVE HIM THERE IN THE HOUSE	11.965
5287-39165-0003.flac	LADY LUFTON WAS NOT A WOMAN WHO ALLOWED HER LIFE TO BE WHAT PEOPLE IN COMMON PARLANCE CALL DULL SHE HAD TOO MANY DUTIES AND THOUGHT TOO MUCH OF THEM	10.26
5287-39165-0004.flac	BUT NEVERTHELESS THE HOUSE WAS MORE JOYOUS TO HER WHEN HE WAS THERE THERE WAS A REASON FOR SOME LITTLE GAIETY WHICH WOULD NEVER HAVE BEEN ATTRACTED THITHER BY HERSELF BUT WHICH NEVERTHELESS SHE DID ENJOY WHEN IT WAS BROUGHT ABOUT BY HIS PRESENCE	16.08
5287-39165-0005.flac	SHE WAS YOUNGER AND BRIGHTER WHEN HE WAS THERE THINKING MORE OF THE FUTURE AND LESS OF THE PAST SHE COULD LOOK AT HIM AND THAT ALONE WAS HAPPINESS TO HER AND THEN HE WAS PLEASANT MANNERED WITH HER JOKING WITH HER	14.96
5287-39165-0006.flac	ON HER LITTLE OLD WORLD PREJUDICES IN A TONE THAT WAS MUSICAL TO HER EAR AS COMING FROM HIM SMILING ON HER REMINDING HER OF THOSE SMILES WHICH SHE HAD LOVED SO DEARLY WHEN AS YET HE WAS ALL HER OWN	13.945
5287-39165-0007.flac	LYING THERE IN HIS LITTLE BED BESIDE HER CHAIR HE WAS KIND AND GRACIOUS TO HER BEHAVING LIKE A GOOD SON AT ANY RATE WHILE HE WAS THERE IN HER PRESENCE WHEN WE ADD TO THIS	13.33
5287-39165-0008.flac	HER FEARS THAT HE MIGHT NOT BE SO PERFECT IN HIS CONDUCT WHEN ABSENT WE MAY WELL IMAGINE THAT LADY LUFTON WAS PLEASED TO HAVE HIM THERE AT FRAMLEY COURT SHE HAD HARDLY SAID A WORD TO HIM AS TO THAT FIVE THOUSAND POUNDS	14.815
5287-39165-0009.flac	MANY A NIGHT AS SHE LAY THINKING ON HER PILLOW SHE SAID TO HERSELF THAT NO MONEY HAD EVER BEEN BETTER EXPENDED SINCE IT HAD BROUGHT HIM BACK TO HIS OWN HOUSE HE HAD THANKED HER FOR IT IN HIS OWN OPEN WAY	14.31
5287-39165-0010.flac	DECLARING THAT HE WOULD PAY IT BACK TO HER DURING THE COMING YEAR AND COMFORTING HER HEART BY HIS REJOICING THAT THE PROPERTY HAD NOT BEEN SOLD I DON'T LIKE THE IDEA OF PARTING WITH AN ACRE OF IT HE HAD SAID OF COURSE NOT LUDOVIC	15.805
7823-103122-0000.flac	THE GRAY TOWER OF THE GOOD DUCHESS ANNE WAS HUNG WITH GARLANDS OF IVY AND GAY WITH TUFTS OF FRAGRANT WALLFLOWERS AND ALONG THE FOSSE THE SHADOWS DEEPENED DAILY AS THE YOUNG LEAVES THICKENED ON THE INTERLACING BRANCHES OVERHEAD	16.27
7823-103122-0001.flac	WOODEN SHOES CLATTERED TO AND FRO AS THE GIRLS BROUGHT WATER FROM THE FOUNTAIN IN PLACE SAINT LOUIS MEN WITH THEIR LONG HAIR EMBROIDERED JACKETS AND BAGGY BREECHES DRANK CIDER AT THE INN DOORS AND THE GREAT BRETON HORSES	16.085
7823-103122-0002.flac	SHOOK THEIR HIGH COLLARS TILL THE BELLS RANG AGAIN AS THEY PASSED ALONG THE ROADS THAT WOUND BETWEEN WIDE FIELDS OF COLZA BUCKWHEAT AND CLOVER UP AT THE CHATEAU	13.935
7823-103122-0003.flac	WHICH STOOD NEAR THE RUINS OF THE ANCIENT CASTLE THE GREAT BANNER STREAMED IN THE WIND SHOWING AS ITS FOLDS BLEW OUT THE DEVICE AND MOTTO OF THE BEAUMANOIR TWO CLASPED HANDS AND THE LEGEND	14.925
7823-103122-0004.flac	IN THE COURTYARD HOUNDS BRAYED HORSES PRANCED	4.38
7823-103122-0005.flac	FOR THE COUNT WAS GOING TO HUNT THE WILD BOAR PRESENTLY AWAY THEY WENT WITH THE MERRY MUSIC OF HORNS THE CLATTER OF HOOFS AND THE BLITHE RING OF VOICES TILL THE PLEASANT CLAMOR DIED AWAY IN THE DISTANT WOODS	15.0749375
7823-103122-0006.flac	WHERE MISTLETOE CLUNG TO THE GREAT OAKS AND MENHIRS AND DOLMENS	5.4100625
7823-103122-0007.flac	A BOY'S FACE LOOKED OUT FULL OF EAGER LONGING A FINE STRONG FACE BUT SULLEN NOW WITH BLACK BROWS DARK RESTLESS EYES AND LIPS SET	13.025
7823-103122-0008.flac	AS IF REBELLIOUS THOUGHTS WERE STIRRING IN HIS MIND HE WATCHED THE GAY CAVALCADE DISAPPEAR UNTIL A SUNNY SILENCE SETTLED OVER THE LANDSCAPE BROKEN ONLY BY THE LARKS AND THE SOUND OF A GIRL'S VOICE SINGING AS HE LISTENED	16.51
7823-103122-0009.flac	WHEN IT RESTED ON A BLUE GOWNED WHITE CAPPED FIGURE SPRINKLING WEBS OF LINEN SPREAD TO BLEACH IN THE GREEN MEADOW BY THE RIVER RANCE IF I MAY NOT HUNT	13.325
7823-103122-0010.flac	THE BOY STRUCK A VOLUME THAT LAY ON THE WIDE LEDGE WITH A PETULANT ENERGY THAT SENT IT FLUTTERING DOWN INTO THE COURT YARD BELOW HALF ASHAMED AND HALF AMUSED YOUNG GASTON PEEPED TO SEE IF THIS RANDOM SHOT HAD HIT ANY ONE	15.67
7823-103122-0011.flac	BUT ALL WAS QUIET AND DESERTED NOW SO WITH A BOYISH LAUGH AND A DARING GLANCE AT THE DANGEROUS DESCENT HE SAID TO THE DOVES COOING ON THE ROOF OVERHEAD	12.17
2514-149482-0000.flac	HE RECEIVED FROM MISSUS LOWDER ON THE MORNING AFTER HIS VISIT TO KATE THE TELEGRAPHIC EXPRESSION OF A HOPE THAT HE MIGHT BE FREE TO DINE WITH THEM THAT EVENING AND HIS FREEDOM AFFECTED HIM AS FORTUNATE EVEN THOUGH IN SOME DEGREE QUALIFIED BY HER MISSIVE	15.47
